Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Type,Diet_Type
Honey Lentil Salad with Pasta,286,23.9,71.9,26.9,Snack,Veg
Masala Turkey Noodles with Pasta,279,25.9,18.4,3.4,Snack,Non-Veg
Lemon Turkey Salad with Quinoa,163,37.5,70.6,31.1,Lunch,Veg
BBQ Egg Soup with Biryani,639,30.9,14,12.5,Breakfast,Non-Veg
Honey Paneer Roast with Quinoa,90,10.7,8.6,8.7,Lunch,Veg
Honey Beef Pasta with Flatbread,452,19.3,49.4,28,Lunch,Non-Veg
BBQ Turkey Roast with Bread,191,8,67.2,25.8,Lunch,Veg
Herb Chicken Pasta with Biryani,279,32,29.4,13.9,Breakfast,Non-Veg
Spicy Lentil Stir Fry with Pasta,361,32.7,59.6,2.8,Snack,Non-Veg
Teriyaki Tofu Noodles with Rice,228,17.8,42.4,29.2,Dinner,Veg
Teriyaki Tofu Grill with Pasta,431,7.6,48.1,23.9,Breakfast,Non-Veg
Garlic Beef Grill with Flatbread,422,15.4,73.1,5,Snack,Non-Veg
Lemon Turkey Wrap with Ramen,463,26.3,63.7,13.3,Dinner,Non-Veg
Butter Turkey Salad with Noodles,682,13,89.9,21.8,Snack,Veg
Honey Turkey Stir Fry with Biryani,82,22.5,80.4,1.1,Breakfast,Non-Veg
Spicy Fish Noodles with Pasta,191,21.2,12.9,28.7,Lunch,Non-Veg
Honey Pork Tacos with Flatbread,502,19.6,45.8,18.2,Snack,Veg
Chili Turkey Pasta with Ramen,169,25.2,42.3,25.5,Snack,Non-Veg
Butter Shrimp Wrap with Dumpling,195,33.8,61.2,1.6,Snack,Veg
Herb Turkey Pasta with Flatbread,371,28.2,44.6,6.6,Snack,Veg
Teriyaki Egg Salad with Bread,675,8.2,50.8,23.4,Snack,Non-Veg
Honey Shrimp Pasta with Dumpling,589,20,80.4,29.6,Lunch,Veg
BBQ Beef Roast with Ramen,514,12.7,64.2,12.3,Lunch,Non-Veg
Teriyaki Egg Salad with Ramen,454,4.3,86.9,12,Lunch,Non-Veg
Garlic Turkey Tacos with Bun,623,8.7,20.1,16.1,Lunch,Veg
Garlic Shrimp Wrap with Noodles,114,21.9,33.6,22.3,Snack,Non-Veg
Lemon Pork Soup with Quinoa,135,25.7,38.4,26.2,Breakfast,Veg
Honey Turkey Curry with Quinoa,115,2.3,24.3,10.4,Snack,Non-Veg
Herb Tofu Wrap with Dumpling,360,4.3,20,32.2,Snack,Non-Veg
Masala Pork Grill with Noodles,342,25.2,61.9,3.9,Snack,Veg
Teriyaki Pork Grill with Dumpling,187,30.2,59.1,4.5,Breakfast,Non-Veg
Garlic Fish Burger with Noodles,210,6.6,62.7,31.5,Breakfast,Veg
Herb Egg Noodles with Ramen,347,26.3,46.2,21.9,Lunch,Non-Veg
Butter Chicken Burger with Dumpling,227,28.2,47.4,4.7,Lunch,Veg
Honey Shrimp Wrap with Bun,392,32.8,82.7,13.6,Snack,Non-Veg
Butter Shrimp Grill with Biryani,512,32.7,37.9,25.3,Lunch,Non-Veg
Butter Turkey Tacos with Quinoa,656,28.9,80.4,31.6,Breakfast,Non-Veg
Butter Tofu Salad with Noodles,93,15.2,88.7,6.7,Lunch,Veg
Lemon Pork Wrap with Noodles,364,38.4,82,32.1,Snack,Veg
Spicy Chicken Pasta with Ramen,554,19.9,21.6,30.2,Lunch,Non-Veg
Lemon Pork Stir Fry with Noodles,156,25.7,56,2.8,Lunch,Veg
Spicy Turkey Roast with Flatbread,375,15.7,7.5,25.7,Dinner,Veg
Honey Pork Soup with Quinoa,179,18.9,77,21.7,Breakfast,Non-Veg
Herb Beef Rice Bowl with Noodles,113,10.8,49.4,24.2,Breakfast,Veg
Teriyaki Turkey Salad with Rice,636,24.3,64.3,29.2,Breakfast,Veg
Masala Tofu Salad with Pasta,333,7.7,24.7,3.8,Breakfast,Veg
Lemon Shrimp Rice Bowl with Dumpling,240,26,72,17.2,Dinner,Veg
Chili Shrimp Rice Bowl with Biryani,476,31.8,89.4,19.7,Snack,Veg
Butter Egg Stir Fry with Ramen,94,34.5,43.5,20.5,Lunch,Non-Veg
Spicy Shrimp Soup with Rice,610,8.5,8.7,19.3,Dinner,Veg
Lemon Tofu Rice Bowl with Bun,591,32.1,32.5,18,Breakfast,Non-Veg
Herb Beef Tacos with Bread,97,29.6,63.9,21.6,Breakfast,Non-Veg
Garlic Shrimp Curry with Flatbread,332,19,38.1,27.8,Snack,Non-Veg
BBQ Paneer Grill with Dumpling,341,2.5,55.3,26.6,Dinner,Non-Veg
Masala Shrimp Salad with Bread,280,29.5,62,32.8,Breakfast,Non-Veg
BBQ Egg Roast with Noodles,594,7.1,8.5,3.4,Dinner,Non-Veg
Butter Fish Tacos with Quinoa,180,7.5,73.8,24.8,Dinner,Non-Veg
Lemon Paneer Rice Bowl with Flatbread,245,29.6,17.8,9.1,Lunch,Veg
Lemon Tofu Rice Bowl with Flatbread,646,34,20.6,5.4,Lunch,Non-Veg
Butter Shrimp Curry with Bread,345,38.7,9.8,23.2,Lunch,Veg
Honey Chicken Noodles with Bread,247,12.9,14.2,34.2,Dinner,Non-Veg
Butter Lentil Stir Fry with Biryani,642,27.6,66.6,18.8,Dinner,Veg
Masala Paneer Tacos with Noodles,583,32.8,80.5,13.4,Dinner,Veg
Butter Tofu Roast with Pasta,129,26.8,80,1.3,Snack,Veg
Lemon Lentil Stir Fry with Rice,460,9.8,89.8,32.4,Breakfast,Veg
BBQ Fish Noodles with Noodles,298,2.2,61.5,18.3,Dinner,Veg
Garlic Paneer Tacos with Rice,370,34.9,83.7,31.8,Dinner,Non-Veg
Masala Tofu Burger with Bun,464,11.1,45.4,29.7,Snack,Veg
Chili Beef Pasta with Biryani,532,9.8,62.4,4.3,Breakfast,Non-Veg
Masala Shrimp Stir Fry with Biryani,193,27.1,71,31.2,Snack,Veg
Garlic Fish Wrap with Bun,653,37.8,40.7,18.2,Dinner,Veg
Spicy Pork Wrap with Ramen,524,15.6,19.5,13.2,Snack,Veg
Masala Chicken Roast with Ramen,375,37,62.4,26.7,Snack,Veg
Masala Paneer Grill with Quinoa,97,38.7,58.3,23.6,Snack,Veg
Lemon Lentil Grill with Pasta,435,21.7,49.5,16.3,Lunch,Non-Veg
Herb Beef Roast with Quinoa,526,6.1,17.6,3.4,Dinner,Non-Veg
Herb Fish Rice Bowl with Biryani,673,15.9,31.8,24.7,Breakfast,Veg
Chili Turkey Noodles with Bread,81,16,49.5,2,Dinner,Veg
Spicy Fish Curry with Ramen,119,28.9,46.9,29.3,Dinner,Non-Veg
BBQ Lentil Rice Bowl with Dumpling,410,24.1,12.3,4.7,Dinner,Veg
Honey Chicken Tacos with Pasta,636,4.1,47.6,9.5,Lunch,Veg
Teriyaki Egg Rice Bowl with Flatbread,211,8.6,28.8,15.5,Lunch,Veg
Butter Chicken Burger with Bun,198,3.6,43.9,3.5,Breakfast,Veg
Masala Beef Pasta with Pasta,529,36.1,83.5,9.5,Lunch,Veg
Honey Chicken Wrap with Biryani,314,14.1,77.6,32.9,Snack,Veg
Butter Pork Salad with Pasta,616,2.6,36.4,9.9,Dinner,Veg
Butter Pork Noodles with Biryani,190,21.1,71.3,11.9,Breakfast,Non-Veg
Herb Paneer Burger with Pasta,117,20,39.7,27.6,Breakfast,Veg
Chili Tofu Soup with Bun,637,3.4,34.1,23.4,Snack,Veg
Teriyaki Tofu Noodles with Quinoa,667,27.4,86.1,24.2,Breakfast,Non-Veg
Lemon Shrimp Wrap with Quinoa,393,33.7,34.4,4.7,Breakfast,Veg
Garlic Lentil Pasta with Pasta,669,20.2,76.2,4.6,Lunch,Non-Veg
Spicy Egg Rice Bowl with Bun,198,37.7,9.6,11.6,Dinner,Non-Veg
Butter Chicken Stir Fry with Bun,573,29.6,33.7,14.1,Dinner,Veg
Masala Egg Roast with Bread,483,33.2,84.7,2.9,Snack,Non-Veg
BBQ Paneer Tacos with Noodles,497,2.6,38.6,3.2,Dinner,Non-Veg
BBQ Egg Tacos with Dumpling,145,37.6,60.9,32,Lunch,Non-Veg
Spicy Chicken Pasta with Pasta,653,24.7,9.4,10.3,Snack,Non-Veg
Teriyaki Turkey Roast with Bread,627,39.8,67.3,12.2,Dinner,Non-Veg
Butter Pork Soup with Rice,617,30.5,40.3,16.7,Snack,Veg
Herb Shrimp Stir Fry with Biryani,623,16.1,27.1,3.4,Dinner,Non-Veg
Butter Tofu Stir Fry with Quinoa,183,36.1,76.5,6.3,Lunch,Veg
Spicy Paneer Burger with Bread,509,20.4,53,34.1,Dinner,Veg
BBQ Lentil Wrap with Pasta,330,6.9,76.5,18,Snack,Veg
Teriyaki Beef Burger with Quinoa,338,30.4,14.2,18.7,Breakfast,Veg
Teriyaki Pork Curry with Flatbread,127,8.7,81.3,30.3,Breakfast,Non-Veg
Chili Fish Curry with Noodles,404,19,73.2,16.1,Snack,Non-Veg
Honey Beef Tacos with Pasta,496,30.4,35,13.3,Breakfast,Non-Veg
BBQ Fish Soup with Bread,375,17.1,37.8,6.9,Lunch,Non-Veg
Masala Chicken Salad with Noodles,365,15.5,46.8,8.9,Breakfast,Non-Veg
Butter Pork Soup with Ramen,476,27.1,60.1,10.7,Dinner,Veg
Herb Lentil Grill with Biryani,336,39.6,59.7,3.7,Breakfast,Non-Veg
Garlic Pork Salad with Bun,597,31.5,89,6.9,Breakfast,Veg
BBQ Lentil Wrap with Noodles,91,26.8,30.5,27.3,Dinner,Non-Veg
Honey Egg Tacos with Noodles,585,3.3,16.1,21.4,Dinner,Veg
Chili Paneer Salad with Dumpling,204,35.2,15.4,27,Dinner,Veg
Honey Chicken Grill with Quinoa,457,11.2,76.6,9.9,Lunch,Veg
Garlic Turkey Noodles with Quinoa,646,4.3,60.6,4.2,Snack,Non-Veg
Herb Chicken Roast with Quinoa,286,29.4,6.3,34.8,Snack,Non-Veg
BBQ Paneer Salad with Rice,199,28.3,11.6,13.3,Snack,Veg
Honey Chicken Burger with Dumpling,271,20.1,64.8,25,Snack,Veg
Herb Turkey Wrap with Rice,165,27.1,83.8,4.7,Breakfast,Non-Veg
Butter Tofu Soup with Bun,683,7.2,75.2,14.9,Snack,Veg
Herb Paneer Soup with Bun,613,21.1,10,19.2,Lunch,Veg
Spicy Fish Grill with Rice,408,11.4,48.5,23.5,Dinner,Non-Veg
Lemon Chicken Pasta with Rice,109,15.6,49.5,5.4,Lunch,Non-Veg
Garlic Fish Salad with Bread,665,27.3,17,22.6,Lunch,Veg
Chili Fish Curry with Pasta,533,6.3,15.8,30.6,Breakfast,Veg
Herb Pork Noodles with Quinoa,165,32,26,10,Breakfast,Veg
BBQ Lentil Grill with Flatbread,664,5.7,38.6,25.5,Breakfast,Non-Veg
Masala Shrimp Rice Bowl with Ramen,369,25.6,54.1,23.2,Snack,Non-Veg
Teriyaki Egg Rice Bowl with Ramen,538,26.7,5.5,7.4,Breakfast,Veg
Honey Pork Salad with Flatbread,246,13.3,73.7,23.5,Lunch,Non-Veg
Lemon Shrimp Roast with Ramen,290,16.9,57.6,4.1,Breakfast,Non-Veg
Butter Turkey Grill with Pasta,291,11.6,28.8,27.4,Dinner,Veg
Garlic Fish Tacos with Bread,522,9.3,32.1,6.7,Breakfast,Non-Veg
BBQ Egg Soup with Pasta,185,34.4,75.3,24,Lunch,Veg
Garlic Paneer Tacos with Dumpling,144,13.3,64.4,23.5,Breakfast,Veg
Teriyaki Beef Noodles with Bun,520,21.9,35.5,20.1,Breakfast,Non-Veg
Lemon Lentil Roast with Biryani,90,20.2,15.3,30.1,Breakfast,Veg
Spicy Lentil Rice Bowl with Biryani,660,36.5,57.3,32.3,Dinner,Non-Veg
Herb Beef Rice Bowl with Pasta,511,11.7,62.8,26.6,Lunch,Veg
Butter Fish Noodles with Ramen,107,18.5,72.8,12.5,Dinner,Veg
Spicy Pork Grill with Quinoa,377,33.2,43.8,3.7,Dinner,Veg
Masala Pork Curry with Ramen,288,33.9,55.1,33,Breakfast,Veg
Garlic Paneer Stir Fry with Bread,590,26.9,84.1,3.6,Dinner,Non-Veg
Masala Chicken Pasta with Dumpling,455,5.6,85.8,1.1,Snack,Non-Veg
Butter Chicken Burger with Rice,676,6.6,44.9,7.3,Breakfast,Veg
Masala Pork Noodles with Biryani,481,11,12.7,20.7,Lunch,Veg
Garlic Pork Soup with Noodles,517,15.9,21.6,15.6,Snack,Non-Veg
Teriyaki Pork Curry with Ramen,291,38,42.4,4.1,Breakfast,Non-Veg
Chili Turkey Noodles with Flatbread,354,29,77,9.8,Breakfast,Non-Veg
Herb Beef Rice Bowl with Dumpling,412,12.4,25.4,6.9,Snack,Veg
Chili Paneer Stir Fry with Ramen,126,9.4,67.5,20.3,Breakfast,Veg
Lemon Pork Salad with Bread,553,3.8,43.8,18.3,Dinner,Non-Veg
Herb Chicken Roast with Pasta,545,31.6,57.6,19.4,Snack,Veg
Herb Pork Grill with Dumpling,336,32.2,52.7,5.7,Breakfast,Veg
Garlic Turkey Roast with Bun,410,19.9,29.8,31,Dinner,Non-Veg
Butter Chicken Grill with Quinoa,269,9.3,38.6,13.3,Snack,Non-Veg
Chili Pork Pasta with Dumpling,254,34.4,57.8,19.1,Dinner,Veg
Spicy Egg Stir Fry with Bread,515,32.2,52.5,7.3,Snack,Veg
Teriyaki Shrimp Grill with Biryani,313,39.2,30.3,6.1,Dinner,Non-Veg
BBQ Pork Tacos with Bun,87,32.7,60.1,18,Snack,Non-Veg
Herb Fish Rice Bowl with Ramen,543,34.1,55.3,15.3,Breakfast,Veg
Spicy Pork Salad with Dumpling,556,3,60,2.9,Dinner,Non-Veg
Teriyaki Fish Rice Bowl with Bread,548,19.6,71.2,29.5,Breakfast,Non-Veg
Lemon Pork Noodles with Noodles,345,30.4,38,23.7,Breakfast,Non-Veg
Garlic Paneer Grill with Rice,257,33.7,74.4,10.9,Dinner,Veg
Herb Pork Burger with Bread,291,15.5,32.4,18.4,Dinner,Veg
Lemon Lentil Soup with Pasta,482,23.8,23.9,28.4,Dinner,Non-Veg
Lemon Lentil Salad with Bun,620,22.9,25,11.5,Lunch,Non-Veg
Garlic Shrimp Soup with Pasta,134,32.8,53,8.1,Breakfast,Non-Veg
Chili Egg Soup with Flatbread,582,9,5.6,31.3,Dinner,Veg
Honey Turkey Wrap with Bun,286,19.4,75.2,32.6,Breakfast,Veg
Masala Chicken Tacos with Pasta,699,12.5,87.1,29,Lunch,Veg
Teriyaki Pork Roast with Noodles,234,14.2,45.8,23.3,Breakfast,Veg
Butter Beef Soup with Quinoa,432,12.5,36.3,6.8,Breakfast,Non-Veg
Spicy Paneer Salad with Biryani,651,21.2,38,15.8,Breakfast,Veg
Herb Chicken Grill with Quinoa,421,9.7,41.3,20.9,Snack,Non-Veg
BBQ Paneer Roast with Flatbread,645,21,6,24.3,Snack,Non-Veg
Chili Turkey Wrap with Quinoa,329,9.4,60.2,17.5,Lunch,Veg
Honey Beef Salad with Ramen,622,13.2,47.1,31.8,Snack,Non-Veg
Honey Paneer Salad with Quinoa,375,10.8,24.3,4.7,Snack,Non-Veg
Lemon Beef Stir Fry with Rice,479,5.3,5.1,5.1,Breakfast,Veg
Masala Tofu Soup with Dumpling,545,10.9,68.3,11.2,Dinner,Non-Veg
Herb Paneer Salad with Biryani,593,5.5,38.4,11.7,Breakfast,Non-Veg
Lemon Turkey Stir Fry with Noodles,312,9.6,31.7,18,Breakfast,Non-Veg
Spicy Chicken Grill with Bread,531,2.8,66.1,26.3,Snack,Veg
Spicy Beef Tacos with Biryani,425,20,78.8,24.8,Lunch,Veg
Butter Tofu Salad with Quinoa,543,33.4,11.3,15.5,Snack,Veg
Garlic Turkey Tacos with Pasta,559,32.3,51.3,6.5,Lunch,Veg
Honey Turkey Roast with Biryani,438,5.7,34.8,26.4,Lunch,Veg
Garlic Tofu Stir Fry with Bread,97,24.2,76.1,18,Dinner,Non-Veg
Butter Shrimp Curry with Ramen,174,21.5,78,11.6,Dinner,Non-Veg
Honey Egg Stir Fry with Bread,519,28.5,75.6,17.9,Snack,Veg
Honey Egg Curry with Noodles,137,8.2,13,15,Dinner,Veg
Herb Shrimp Curry with Pasta,477,39.3,80.6,4,Snack,Veg
Masala Pork Tacos with Dumpling,396,27,77.2,6.2,Lunch,Veg
Honey Turkey Salad with Bread,404,25.9,51,32.9,Breakfast,Veg
Butter Lentil Soup with Quinoa,192,36.6,72.5,9.7,Snack,Non-Veg
Herb Pork Stir Fry with Pasta,607,22.2,87.6,14.4,Snack,Veg
Butter Pork Roast with Bun,205,7.4,78.7,26.9,Breakfast,Veg
BBQ Lentil Roast with Dumpling,445,39.9,89.7,3.2,Snack,Non-Veg
Herb Lentil Soup with Pasta,666,10.7,85.4,1,Breakfast,Veg
Herb Shrimp Rice Bowl with Ramen,613,21.3,80.6,23.3,Lunch,Veg
Masala Paneer Wrap with Bread,528,3,28.2,34.2,Dinner,Veg
Masala Beef Tacos with Pasta,235,14.5,73.3,25.2,Snack,Veg
Garlic Beef Burger with Dumpling,669,15.2,78.9,13.7,Lunch,Non-Veg
Butter Chicken Pasta with Bread,547,19.8,45.7,28.2,Dinner,Non-Veg
BBQ Chicken Burger with Quinoa,388,23.9,82.2,26.1,Breakfast,Non-Veg
Masala Turkey Burger with Bread,229,34.1,55.8,14.9,Lunch,Veg
Spicy Tofu Stir Fry with Biryani,510,35.2,64.2,30.5,Breakfast,Non-Veg
Spicy Pork Curry with Bun,500,17.3,38.9,22.1,Breakfast,Non-Veg
BBQ Beef Noodles with Dumpling,219,5.3,17.4,14.8,Lunch,Veg
Lemon Shrimp Pasta with Noodles,521,26,89.5,2.3,Lunch,Veg
Chili Turkey Soup with Bread,163,22.4,80.1,24.1,Snack,Veg
Masala Beef Burger with Noodles,164,28.8,58.6,18,Breakfast,Non-Veg
Spicy Tofu Grill with Bread,116,18.3,24.3,13.5,Snack,Non-Veg
Herb Lentil Grill with Ramen,160,26.3,36.2,29.1,Breakfast,Non-Veg
Herb Chicken Noodles with Flatbread,643,17.6,63.6,24.3,Lunch,Non-Veg
Teriyaki Turkey Tacos with Flatbread,158,15.9,82,17.5,Dinner,Non-Veg
Masala Fish Soup with Ramen,279,22.8,73.8,5.4,Lunch,Veg
BBQ Paneer Roast with Pasta,153,34.4,66.5,13.2,Dinner,Non-Veg
Garlic Beef Pasta with Quinoa,587,27.1,6.8,32.4,Snack,Non-Veg
Teriyaki Lentil Soup with Dumpling,595,29.1,87.5,10.1,Snack,Non-Veg
Masala Lentil Soup with Pasta,537,36.7,51.9,12,Breakfast,Non-Veg
Spicy Lentil Wrap with Flatbread,667,37.5,84.5,26.1,Lunch,Veg
Lemon Beef Rice Bowl with Bread,676,21.3,82.3,15.6,Lunch,Veg
Butter Turkey Roast with Ramen,522,18.4,31.1,7.4,Lunch,Veg
Teriyaki Paneer Wrap with Biryani,364,10.2,74.5,4.1,Dinner,Veg
Garlic Fish Noodles with Noodles,420,33.9,23.1,34.6,Snack,Veg
Honey Lentil Soup with Pasta,119,27.1,42.3,22.2,Dinner,Non-Veg
Teriyaki Lentil Salad with Bun,239,35.1,23.8,15.7,Breakfast,Non-Veg
Teriyaki Tofu Burger with Quinoa,193,9.6,42.4,14.8,Lunch,Non-Veg
Chili Lentil Burger with Biryani,142,37.1,55.3,28.4,Dinner,Non-Veg
Spicy Shrimp Burger with Bun,340,25.5,65.4,3.3,Breakfast,Veg
Masala Lentil Salad with Noodles,314,34.7,13.4,9,Lunch,Non-Veg
Butter Chicken Pasta with Flatbread,476,8.3,70.9,32.3,Dinner,Veg
Garlic Egg Curry with Flatbread,363,24.8,25.9,26.5,Dinner,Non-Veg
Chili Paneer Curry with Bun,176,13.3,80.5,25,Breakfast,Non-Veg
Butter Lentil Stir Fry with Dumpling,230,23.7,33.8,3.5,Breakfast,Non-Veg
Herb Beef Soup with Bun,319,24,10.7,8,Breakfast,Non-Veg
Herb Shrimp Wrap with Ramen,314,11.9,17.1,25,Snack,Veg
Chili Lentil Stir Fry with Ramen,471,12,47,20.7,Breakfast,Non-Veg
Teriyaki Beef Pasta with Bun,381,21.7,8.7,7.4,Lunch,Veg
BBQ Paneer Pasta with Dumpling,681,2.1,11.2,33.3,Snack,Veg
Chili Lentil Stir Fry with Biryani,129,16.9,53,25.9,Breakfast,Veg
Chili Beef Roast with Biryani,348,19.9,43.7,7.8,Snack,Veg
Spicy Chicken Grill with Bun,643,38.7,23.6,11.6,Breakfast,Non-Veg
Chili Paneer Tacos with Ramen,422,38.6,19.4,18.2,Dinner,Non-Veg
Spicy Tofu Salad with Bun,464,21.2,6.1,23.5,Dinner,Veg
Honey Chicken Burger with Bread,600,39.8,54.3,17.6,Breakfast,Non-Veg
Masala Tofu Salad with Dumpling,164,6.7,79.6,4.7,Breakfast,Non-Veg
Garlic Turkey Grill with Bread,431,33.2,20.5,22.1,Snack,Veg
Honey Paneer Roast with Bun,254,29,47.1,7.7,Snack,Non-Veg
Butter Chicken Salad with Noodles,130,23.1,38.7,15.1,Snack,Non-Veg
Teriyaki Chicken Noodles with Pasta,569,14.7,65.4,27.9,Lunch,Veg
Herb Shrimp Soup with Bread,288,16.6,57.8,16.1,Snack,Veg
Lemon Lentil Curry with Bread,321,12.5,57,11.9,Lunch,Veg
Masala Fish Noodles with Bread,358,30.5,71.2,29,Lunch,Veg
Masala Turkey Burger with Rice,197,20.6,54.3,13.4,Breakfast,Non-Veg
Teriyaki Turkey Burger with Rice,322,3.3,60.3,15.4,Dinner,Veg
Honey Chicken Salad with Bun,483,29.1,35.5,20.8,Breakfast,Veg
Honey Pork Pasta with Bread,376,6.6,49.7,26.6,Breakfast,Non-Veg
Spicy Beef Stir Fry with Bun,297,30.1,41.7,18.8,Breakfast,Non-Veg
Garlic Turkey Roast with Quinoa,652,39.3,26.9,21.9,Snack,Veg
Butter Fish Tacos with Rice,275,24.4,71.4,12.2,Breakfast,Non-Veg
Spicy Beef Burger with Rice,640,18.6,66.7,23,Dinner,Non-Veg
Butter Tofu Soup with Bread,511,32.4,29.6,15.4,Breakfast,Non-Veg
Chili Lentil Tacos with Rice,633,2.2,44.2,14.6,Dinner,Non-Veg
Honey Chicken Curry with Flatbread,591,32.6,6.8,8.6,Dinner,Non-Veg
Lemon Tofu Pasta with Dumpling,334,4.5,76.1,16.2,Dinner,Non-Veg
Spicy Egg Noodles with Ramen,151,7.3,15.4,30.5,Snack,Veg
Herb Tofu Rice Bowl with Dumpling,438,28.2,15.8,9.7,Lunch,Veg
BBQ Egg Salad with Dumpling,195,21.2,88.9,23.5,Dinner,Non-Veg
Spicy Beef Wrap with Pasta,326,26.1,5.8,25.8,Snack,Non-Veg
Lemon Pork Stir Fry with Bun,557,36.8,64.4,17.3,Dinner,Non-Veg
Herb Fish Stir Fry with Biryani,288,4.9,56.3,20,Lunch,Non-Veg
Honey Egg Grill with Bread,174,17.5,5.8,5.1,Dinner,Non-Veg
Spicy Lentil Roast with Rice,510,3.5,43.5,9.4,Lunch,Non-Veg
Herb Shrimp Noodles with Bun,84,31.4,7.6,12.7,Lunch,Veg
Masala Paneer Curry with Rice,686,14.9,71.9,18.8,Lunch,Non-Veg
Chili Egg Salad with Dumpling,329,30.3,53,11,Snack,Veg
Chili Beef Pasta with Bread,341,32.8,80.7,13.8,Breakfast,Non-Veg
BBQ Fish Pasta with Bread,529,31.1,63.2,9.7,Snack,Non-Veg
Spicy Paneer Curry with Bun,443,16.3,7.9,8.8,Lunch,Veg
Honey Lentil Rice Bowl with Flatbread,238,25.5,88.9,13.1,Lunch,Veg
Lemon Beef Burger with Flatbread,186,39.1,24.6,30.7,Breakfast,Non-Veg
BBQ Paneer Noodles with Bread,537,9.7,64.1,23.5,Breakfast,Veg
Spicy Beef Roast with Ramen,660,5.6,18.3,24.7,Snack,Non-Veg
Garlic Egg Roast with Quinoa,516,20,16,31.8,Snack,Non-Veg
Herb Shrimp Curry with Ramen,278,12.5,12,1.6,Breakfast,Non-Veg
Butter Paneer Wrap with Bread,444,14.8,18.3,5.6,Snack,Veg
Masala Turkey Stir Fry with Biryani,573,21.2,27.3,20.6,Breakfast,Non-Veg
BBQ Shrimp Roast with Quinoa,452,10.9,58.2,30,Snack,Non-Veg
Butter Pork Salad with Ramen,381,39.9,43.7,33.4,Dinner,Veg
Lemon Beef Grill with Biryani,462,33.6,38.3,13.2,Snack,Veg
Masala Turkey Salad with Ramen,426,22.6,46.8,12.4,Breakfast,Veg
Spicy Fish Soup with Flatbread,402,12.1,24.9,5.2,Dinner,Non-Veg
Lemon Chicken Pasta with Dumpling,306,24,50.3,19.6,Lunch,Veg
Honey Pork Curry with Dumpling,395,19.9,32.8,32.2,Breakfast,Veg
Spicy Paneer Wrap with Bread,684,38,8.7,6.4,Breakfast,Veg
Garlic Tofu Stir Fry with Noodles,647,3.9,14.9,20.2,Breakfast,Veg
Chili Pork Pasta with Pasta,625,9.7,81.8,16,Dinner,Veg
Lemon Shrimp Curry with Quinoa,326,18,68.1,2.2,Dinner,Non-Veg
Spicy Chicken Soup with Quinoa,86,37.2,74.9,3,Breakfast,Veg
Masala Turkey Tacos with Biryani,118,10.3,55.5,3.7,Breakfast,Veg
Spicy Paneer Pasta with Ramen,559,31,28,14.7,Breakfast,Veg
Masala Paneer Curry with Dumpling,422,30.3,19.5,21.9,Snack,Non-Veg
Chili Fish Pasta with Flatbread,555,11,33.9,4.3,Breakfast,Veg
Masala Pork Stir Fry with Bun,269,33.3,73.9,34.7,Lunch,Non-Veg
Masala Beef Pasta with Quinoa,528,11.9,57.3,28.7,Dinner,Veg
Lemon Pork Tacos with Flatbread,648,18.3,89.2,26.4,Lunch,Non-Veg
Garlic Tofu Salad with Flatbread,399,3.9,67.5,27.9,Lunch,Non-Veg
Honey Chicken Rice Bowl with Noodles,559,4.4,73.4,26.8,Lunch,Non-Veg
Masala Turkey Wrap with Quinoa,425,26.7,42,19.2,Lunch,Non-Veg
BBQ Lentil Curry with Biryani,387,14.5,15.1,21,Breakfast,Veg
BBQ Tofu Salad with Quinoa,557,20.5,42.2,5.7,Dinner,Non-Veg
Honey Turkey Salad with Pasta,292,14.1,47.8,21.8,Snack,Non-Veg
BBQ Shrimp Salad with Pasta,478,23.6,74.9,13.6,Breakfast,Non-Veg
Butter Paneer Salad with Ramen,439,21.1,19.2,6,Snack,Non-Veg
Lemon Egg Noodles with Bread,418,7.3,32.8,4.6,Lunch,Veg
Masala Chicken Soup with Biryani,304,15,36.5,15.9,Breakfast,Veg
Herb Turkey Noodles with Bun,148,12.1,9.2,19.1,Breakfast,Veg
Teriyaki Lentil Wrap with Flatbread,412,6.6,56.9,28.3,Lunch,Veg
Spicy Fish Stir Fry with Rice,647,39,72.9,18.5,Snack,Non-Veg
Honey Beef Tacos with Ramen,290,17.7,11.6,33,Lunch,Veg
Honey Shrimp Roast with Dumpling,422,12.3,42.5,14.5,Lunch,Veg
Garlic Egg Tacos with Dumpling,358,11.5,60.1,4.3,Breakfast,Non-Veg
Masala Pork Stir Fry with Dumpling,647,33.5,74.3,25.5,Lunch,Veg
Masala Chicken Rice Bowl with Dumpling,173,16.7,39.8,18.1,Dinner,Non-Veg
BBQ Egg Soup with Quinoa,661,15.1,14.1,32.1,Snack,Veg
Spicy Pork Stir Fry with Pasta,334,27.6,56.3,20.5,Dinner,Veg
Garlic Lentil Burger with Biryani,459,28.3,85.9,10.4,Lunch,Non-Veg
Honey Shrimp Stir Fry with Rice,374,34.8,25.6,18.2,Lunch,Veg
Masala Beef Roast with Flatbread,308,8.2,43.5,21.4,Breakfast,Veg
Chili Egg Noodles with Flatbread,486,6.9,29.2,33,Snack,Non-Veg
BBQ Egg Noodles with Flatbread,400,8.8,25,15.7,Breakfast,Non-Veg
Teriyaki Egg Burger with Dumpling,184,5.2,54.5,6.8,Breakfast,Non-Veg
